id	diakid	datum	lefekves	felkeles
1	18	2022.09.28	20:45:00	6:32:00
2	7	2022.09.08	20:00:00	6:00:00
3	2	2022.09.12	21:38:00	7:15:00
4	2	2022.09.23	21:50:00	7:15:00
6	15	2022.09.21	21:18:00	7:00:00
7	17	2022.09.27	20:24:00	6:15:00
8	1	2022.09.23	20:06:00	7:00:00
10	14	2022.09.15	20:16:00	6:15:00
11	21	2022.09.13	21:34:00	7:20:00
12	12	2022.09.28	20:31:00	5:30:00
13	6	2022.09.15	21:30:00	6:45:00
14	11	2022.09.23	22:15:00	6:00:00
17	12	2022.09.21	20:44:00	5:30:00
18	5	2022.09.07	23:44:00	6:15:00
19	13	2022.09.19	21:17:00	6:00:00
21	15	2022.09.30	21:26:00	7:00:00
22	22	2022.09.19	23:07:00	6:36:00
24	4	2022.09.21	20:57:00	7:33:00
26	3	2022.09.21	20:00:00	7:10:00
27	10	2022.09.26	21:16:00	7:00:00
28	5	2022.09.02	23:38:00	6:15:00
30	20	2022.09.22	21:01:00	6:50:00
31	3	2022.09.16	20:14:00	7:10:00
34	1	2022.09.28	20:03:00	7:06:00
35	20	2022.09.14	21:18:00	6:50:00
36	20	2022.09.13	21:04:00	6:50:00
38	2	2022.09.30	21:40:00	7:15:00
39	4	2022.09.30	20:41:00	7:00:00
40	16	2022.09.02	20:43:00	6:48:00
41	17	2022.09.15	20:20:00	6:17:00
42	8	2022.09.13	22:48:00	7:00:00
43	14	2022.09.06	20:17:00	6:15:00
44	2	2022.09.21	21:42:00	7:15:00
45	12	2022.09.16	20:31:00	5:30:00
47	4	2022.09.08	20:33:00	7:00:00
48	22	2022.09.30	23:06:00	6:31:00
50	17	2022.09.06	20:21:00	6:15:00
51	6	2022.09.29	21:30:00	6:45:00
52	10	2022.09.16	21:27:00	7:00:00
53	2	2022.09.22	21:32:00	7:15:00
54	1	2022.09.19	20:01:00	7:01:00
57	12	2022.09.12	20:45:00	5:30:00
58	21	2022.09.22	21:40:00	7:20:00
61	4	2022.09.22	20:51:00	7:29:00
62	15	2022.09.06	21:05:00	7:00:00
63	10	2022.09.08	21:22:00	7:00:00
64	22	2022.09.27	23:02:00	6:34:00
66	22	2022.09.28	23:03:00	6:30:00
67	10	2022.09.05	21:24:00	7:00:00
68	13	2022.09.23	21:30:00	6:00:00
70	16	2022.09.16	20:35:00	6:45:00
72	14	2022.09.21	20:18:00	6:15:00
75	14	2022.09.20	20:18:00	6:15:00
77	6	2022.09.22	21:16:00	6:47:00
78	18	2022.09.13	20:49:00	6:30:00
79	14	2022.09.02	20:18:00	6:15:00
80	2	2022.09.01	21:44:00	7:28:00
81	20	2022.09.07	21:25:00	6:50:00
82	7	2022.09.20	20:10:00	6:00:00
83	13	2022.09.22	21:28:00	6:00:00
84	1	2022.09.14	20:05:00	7:00:00
86	10	2022.09.23	21:25:00	7:00:00
87	18	2022.09.02	20:50:00	6:30:00
88	9	2022.09.16	23:08:00	7:15:00
89	12	2022.09.07	20:38:00	5:30:00
91	16	2022.09.08	20:36:00	6:45:00
92	1	2022.09.15	20:11:00	7:00:00
93	19	2022.09.19	20:33:00	6:45:00
94	7	2022.09.21	20:28:00	6:00:00
96	8	2022.09.20	22:37:00	7:00:00
97	6	2022.09.05	21:15:00	6:45:00
98	2	2022.09.28	21:31:00	7:15:00
99	17	2022.09.28	20:18:00	6:15:00
100	18	2022.09.05	20:52:00	6:30:00
101	6	2022.09.09	21:30:00	6:45:00
102	12	2022.09.13	20:36:00	5:30:00
105	16	2022.09.14	20:48:00	6:45:00
106	6	2022.09.30	21:23:00	6:45:00
107	18	2022.09.08	20:51:00	6:30:00
108	22	2022.09.14	23:05:00	6:30:00
109	13	2022.09.26	21:21:00	6:00:00
111	1	2022.09.22	20:11:00	7:07:00
112	5	2022.09.09	23:48:00	6:26:00
113	7	2022.09.06	20:06:00	6:00:00
118	2	2022.09.14	21:50:00	7:15:00
122	7	2022.09.13	20:04:00	6:00:00
124	18	2022.09.16	20:48:00	6:30:00
125	7	2022.09.19	20:16:00	6:00:00
127	3	2022.09.05	20:20:00	7:13:00
129	17	2022.09.13	20:22:00	6:20:00
130	7	2022.09.12	20:03:00	6:00:00
131	2	2022.09.09	21:51:00	7:15:00
132	20	2022.09.08	21:14:00	6:50:00
133	14	2022.09.09	20:19:00	6:15:00
